iter	Passed	Remaining
0	0	82
1	1	76
2	2	71
3	3	74
4	3	73
5	4	72
6	5	71
7	6	69
8	6	66
9	8	77
10	9	80
11	10	77
12	11	75
13	12	74
14	12	72
15	13	70
16	14	69
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	61
23	19	60
24	19	59
25	20	59
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	28	48
37	29	47
38	30	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	35	43
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	49	28
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	62	15
80	63	14
81	63	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
