iter	Passed	Remaining
0	146	146228
1	147	73720
2	148	49481
3	151	37706
4	153	30541
5	155	25751
6	156	22225
7	157	19584
8	159	17529
9	160	15910
10	161	14552
11	162	13418
12	165	12528
13	167	11793
14	169	11115
15	170	10495
16	171	9940
17	173	9442
18	174	8999
19	175	8621
20	177	8258
21	180	8008
22	182	7731
23	183	7468
24	184	7211
25	186	6973
26	187	6749
27	188	6542
28	189	6353
29	191	6200
30	195	6102
31	197	5964
32	198	5819
33	199	5676
34	201	5542
35	202	5409
36	203	5293
37	204	5172
38	205	5057
39	206	4948
40	208	4878
41	211	4813
42	212	4729
43	213	4640
44	214	4555
45	215	4473
46	216	4392
47	218	4326
48	219	4253
49	220	4182
50	221	4114
51	223	4078
52	226	4044
53	227	3986
54	228	3928
55	229	3872
56	230	3817
57	231	3764
58	232	3716
59	234	3666
60	234	3615
61	237	3587
62	239	3555
63	240	3520
64	241	3478
65	242	3436
66	243	3396
67	244	3357
68	246	3324
69	247	3285
70	248	3247
71	249	3210
72	249	3174
73	253	3167
74	255	3146
75	256	3117
76	257	3086
77	258	3055
78	259	3025
79	260	2996
80	261	2968
81	262	2939
82	263	2906
83	263	2878
84	264	2851
85	267	2838
86	269	2827
87	270	2807
88	272	2785
89	273	2762
90	274	2738
91	275	2715
92	276	2697
93	277	2675
94	278	2653
95	279	2631
96	280	2609
97	283	2610
98	285	2599
99	286	2580
100	287	2562
101	288	2543
102	290	2525
103	291	2507
104	292	2490
105	293	2473
106	294	2455
107	295	2443
108	298	2438
109	300	2428
110	301	2413
111	302	2397
112	303	2381
113	304	2365
114	305	2352
115	306	2337
116	307	2319
117	308	2304
118	309	2289
119	312	2288
120	313	2278
121	315	2268
122	316	2256
123	317	2243
124	318	2230
125	319	2217
126	320	2203
127	321	2191
128	322	2178
129	323	2165
130	324	2152
131	327	2153
132	329	2148
133	330	2137
134	331	2126
135	332	2114
136	333	2103
137	334	2092
138	336	2083
139	337	2072
140	338	2060
141	338	2047
142	339	2035
143	342	2036
144	344	2032
145	346	2024
146	347	2015
147	348	2005
148	349	1995
149	350	1985
150	351	1977
151	352	1967
152	353	1957
153	354	1947
154	355	1939
155	358	1938
156	360	1935
157	361	1926
158	362	1917
159	363	1908
160	364	1898
161	365	1889
162	366	1880
163	367	1873
164	368	1865
165	369	1856
166	371	1851
167	373	1851
168	375	1846
169	376	1839
170	377	1831
171	378	1823
172	379	1815
173	382	1813
174	383	1807
175	384	1800
176	392	1825
177	393	1818
178	394	1811
179	396	1804
180	397	1798
181	398	1790
182	399	1782
183	400	1774
184	401	1768
185	403	1766
186	405	1764
187	406	1757
188	407	1750
189	408	1743
190	409	1736
191	411	1731
192	412	1724
193	413	1717
194	414	1709
195	415	1702
196	418	1706
197	420	1703
198	421	1697
199	422	1690
200	423	1684
201	424	1677
202	425	1671
203	427	1666
204	428	1660
205	429	1653
206	429	1646
207	431	1642
208	433	1641
209	435	1638
210	436	1633
211	438	1628
212	439	1622
213	440	1616
214	441	1612
215	442	1606
216	443	1600
217	444	1593
218	445	1587
219	448	1590
220	450	1588
221	451	1583
222	453	1578
223	454	1573
224	455	1568
225	456	1562
226	498	1695
227	499	1691
228	501	1687
229	503	1684
230	504	1679
231	505	1674
232	507	1669
233	509	1668
234	512	1667
235	513	1663
236	515	1659
237	516	1654
238	518	1649
239	519	1644
240	520	1640
241	522	1635
242	525	1636
243	529	1642
244	531	1638
245	553	1696
246	554	1691
247	556	1686
248	557	1681
249	558	1676
250	559	1670
251	561	1665
252	562	1659
253	563	1654
254	565	1651
255	567	1648
256	568	1643
257	569	1638
258	570	1632
259	571	1627
260	573	1622
261	574	1617
262	575	1612
263	576	1607
264	577	1601
265	578	1596
266	580	1594
267	582	1590
268	583	1585
269	585	1581
270	587	1579
271	588	1574
272	589	1570
273	590	1564
274	591	1559
275	592	1555
276	599	1565
277	601	1561
278	602	1557
279	623	1603
280	625	1599
281	626	1594
282	629	1593
283	630	1589
284	634	1591
285	635	1586
286	636	1581
287	637	1576
288	638	1571
289	639	1566
290	640	1561
291	644	1562
292	646	1559
293	647	1554
294	648	1550
295	649	1545
296	650	1540
297	652	1536
298	653	1531
299	654	1526
300	655	1521
301	656	1516
302	659	1516
303	661	1513
304	662	1509
305	663	1504
306	664	1499
307	665	1495
308	667	1492
309	668	1488
310	670	1486
311	678	1496
312	679	1492
313	683	1492
314	684	1489
315	686	1486
316	696	1501
317	698	1498
318	701	1497
319	703	1494
320	710	1502
321	711	1499
322	714	1497
323	715	1493
324	717	1489
325	718	1485
326	721	1484
327	725	1485
328	726	1481
329	728	1478
330	730	1475
331	731	1472
332	732	1468
333	737	1470
334	740	1469
335	743	1468
336	745	1467
337	748	1465
338	760	1482
339	762	1479
340	763	1475
341	765	1472
342	770	1475
343	772	1473
344	776	1474
345	778	1470
346	779	1467
347	781	1463
348	785	1465
349	787	1462
350	788	1458
351	790	1455
352	792	1451
353	793	1448
354	795	1444
355	797	1442
356	799	1439
357	801	1437
358	802	1433
359	804	1429
360	805	1425
361	806	1421
362	808	1418
363	809	1414
364	813	1415
365	816	1414
366	818	1411
367	819	1407
368	820	1403
369	823	1402
370	825	1399
371	831	1403
372	834	1403
373	836	1399
374	837	1395
375	838	1391
376	839	1387
377	841	1384
378	844	1384
379	845	1380
380	847	1376
381	848	1372
382	849	1368
383	850	1364
384	852	1361
385	853	1357
386	854	1354
387	856	1350
388	860	1351
389	862	1348
390	863	1345
391	865	1342
392	866	1338
393	867	1334
394	868	1329
395	869	1325
396	869	1321
397	871	1317
398	872	1313
399	875	1313
400	876	1309
401	877	1305
402	878	1301
403	879	1297
404	880	1293
405	881	1288
406	881	1284
407	882	1280
408	883	1276
409	884	1272
410	885	1269
411	886	1265
412	887	1261
413	889	1258
414	890	1254
415	890	1250
416	891	1246
417	892	1243
418	893	1239
419	894	1235
420	895	1231
421	896	1227
422	897	1223
423	898	1220
424	899	1216
425	900	1212
426	901	1209
427	902	1206
428	904	1203
429	904	1199
430	905	1195
431	906	1192
432	907	1188
433	908	1184
434	909	1181
435	910	1177
436	911	1173
437	912	1170
438	913	1166
439	914	1163
440	915	1160
441	916	1156
442	917	1153
443	918	1150
444	920	1147
445	921	1144
446	922	1140
447	923	1137
448	924	1134
449	925	1130
450	926	1127
451	926	1123
452	927	1120
453	928	1116
454	929	1113
455	930	1110
456	931	1106
457	932	1103
458	934	1101
459	935	1097
460	936	1094
461	936	1091
462	937	1087
463	938	1084
464	939	1081
465	940	1077
466	941	1074
467	942	1071
468	943	1068
469	944	1065
470	946	1063
471	949	1061
472	950	1058
473	951	1055
474	952	1052
475	953	1049
476	954	1046
477	956	1044
478	957	1040
479	957	1037
480	958	1034
481	959	1031
482	960	1028
483	961	1025
484	962	1022
485	964	1019
486	965	1016
487	966	1013
488	966	1010
489	967	1007
490	968	1004
491	969	1001
492	970	998
493	971	995
494	972	992
495	973	988
496	974	985
497	975	982
498	975	979
499	976	976
500	978	974
501	979	971
502	980	969
503	981	966
504	982	963
505	983	960
506	984	957
507	985	954
508	986	951
509	986	948
510	987	945
511	988	942
512	989	939
513	990	936
514	991	933
515	993	931
516	994	928
517	995	925
518	996	923
519	996	920
520	997	917
521	998	914
522	999	911
523	1000	908
524	1001	906
525	1002	903
526	1003	900
527	1004	897
528	1005	895
529	1006	892
530	1007	889
531	1008	887
532	1009	884
533	1010	881
534	1010	878
535	1011	875
536	1012	873
537	1013	870
538	1014	867
539	1015	865
540	1016	862
541	1017	859
542	1018	857
543	1019	854
544	1020	851
545	1020	848
546	1023	847
547	1024	844
548	1025	842
549	1026	839
550	1027	837
551	1028	834
552	1029	832
553	1030	829
554	1031	826
555	1032	824
556	1033	821
557	1033	819
558	1034	816
559	1035	813
560	1037	812
561	1038	809
562	1039	806
563	1040	804
564	1041	801
565	1042	799
566	1043	796
567	1044	794
568	1045	791
569	1045	789
570	1046	786
571	1047	784
572	1048	781
573	1049	779
574	1050	776
575	1051	774
576	1053	772
577	1054	769
578	1055	767
579	1056	764
580	1057	762
581	1058	759
582	1058	757
583	1059	754
584	1060	752
585	1061	749
586	1062	747
587	1063	745
588	1064	742
589	1065	740
590	1066	737
591	1068	736
592	1068	733
593	1069	731
594	1070	728
595	1071	726
596	1072	724
597	1073	721
598	1074	719
599	1075	716
600	1076	714
601	1077	712
602	1077	709
603	1078	707
604	1079	704
605	1080	702
606	1081	700
607	1083	698
608	1084	696
609	1086	694
610	1087	692
611	1088	690
612	1090	688
613	1092	686
614	1093	684
615	1094	682
616	1095	680
617	1098	679
618	1100	677
619	1102	675
620	1103	673
621	1105	671
622	1106	669
623	1107	667
624	1108	665
625	1110	663
626	1111	661
627	1113	659
628	1114	657
629	1116	655
630	1117	653
631	1118	651
632	1119	649
633	1120	646
634	1121	644
635	1123	643
636	1124	640
637	1125	638
638	1129	638
639	1131	636
640	1132	634
641	1134	632
642	1135	630
643	1136	628
644	1137	626
645	1139	624
646	1140	622
647	1144	621
